,asset_group,asset_code,BMS_Item Reference,BMS_Name,point_type
395,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-SA-T,AHU-SA-T,AHU-SA-T
675,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-RAD-FR,AHU-RAD-FR,AHU-RAD-FR
1767,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.PA2-SP,PA2-SP,PA#-SP
3021,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-UVLS,AHU-UVLS,AHU-UVLS
6494,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-CV--S-HL,AHU-CV--S-HL,AHU-CV--S-HL
7001,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-CSWT,AHU-CSWT,AHU-CSWT
7110,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-VSD-C,AHU-VSD-C,AHU-VSD-C
7225,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-MFC,AHU-MFC,AHU-MFC
7552,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-WFR,AHU-WFR,AHU-WFR
9571,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.PA-SP,PA-SP,PA-SP
11313,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-C,AHU-C,AHU-C
12465,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-PAD-FR,AHU-PAD-FR,AHU-PAD-FR
12537,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.TEMP-SP,TEMP-SP,TEMP-SP
12967,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-OCA-T,AHU-OCA-T,AHU-OCA-T
13581,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-PFC,AHU-PFC,AHU-PFC
13693,MVAC-AHU,98HMS-1-L12-MVAC-AHU-01,HMS-T:SNE-T1-L12-01/FC1.AHU-01.AHU-EMS,AHU-EMS,AHU-EMS
