,asset_group,point_type,point_description,unit
7871,CDWP,CDWP-#-CMD-OUT,,
22898,CDWP,CDWP-#-READY-ON-IN,,
13951,CDWP,CDWP-#-RUNTIME-IN,,
19701,CDWP,CDWP-MAX-IN,,
8607,CDWP,CDWP-RUNNING-IN,,
22010,CDWP,CDWP-RUNNING-OUT,,
10808,CHWP,CHWP-#-CMD-OUT,,
19706,CHWP,CHWP-#-READY-ON-IN,,
12178,CHWP,CHWP-#-RUNTIME-IN,,
9689,CHWP,CHWP-MAX-IN,,
15784,CHWP,CHWP-MAX-OUT,,
18217,CHWP,CHWP-RUNNING-IN,,
7284,CHWP,CHWP-RUNNING-OUT,,
4253,CHWP,CHWP-RUNNUNG-OUT,,
19233,CHWP,CHWP-T#-#-AM,,
26114,CHWP,CHWP-T#-#-C,,
15023,CHWP,CHWP-T#-#-CMD-IN,,
1383,CHWP,CHWP-T#-#-D-P,,
25212,CHWP,CHWP-T#-#-EANBLE,,
23624,CHWP,CHWP-T#-#-ES,,
18158,CHWP,CHWP-T#-#-FS,,
6275,CHWP,CHWP-T#-#-MA,,
24598,CHWP,CHWP-T#-#-MM,,
4531,CHWP,CHWP-T#-#-PS,,
28246,CHWP,CHWP-T#-#-READY-ON-OUT,,
29069,CHWP,CHWP-T#-#-RESET,,
23077,CHWP,CHWP-T#-#-RUNTIME,,
15476,CHWP,CHWP-T#-#-RUNTIME-OFFSET,,
2444,CHWP,CHWP-T#-#-RUNTIME-OUT,,
8711,CHWP,CHWP-T#-#-S,,
8842,CHWP,CHWP-T#-#-S-P,,
3738,CHWP,CHWP-T#-#-SC,,
15789,CHWP,CHWP-T#-#-SS,,
274,CHWP,CHWP-T#-#-VSDF,,
27716,CHWP,CHWP-T#-#-VSDS,,
28017,CHWP,CHWP-VSD-PA,,
25514,CHWP,CHWP-VSD-PA-SP,,
17205,CHWP,CHWP-VSD-PID-OUT,,
18250,CHWRH,CHWRH-ET#,,
26774,CHWRH,CHWRH-LT#,,
8670,CHWRH,CHWRH-WFR#,,
673,CLBP,CLBP-T#-#-AM,,
7044,CLBP,CLBP-T#-#-MA,,
6269,CLBP,CLBP-T#-#-PS,,
1405,CLBP,CLBP-T#-#-S,,
4849,CT,CT-#-CMD-OUT,,
2961,CT,CT-#-HEAT-ON-IN,,
13179,CT,CT-#-HEAT-ON-OUT,,
28256,CT,CT-#-READY-ON-IN,,
1077,CT,CT-#-RUNTIME-IN,,
7280,CT,CT-#-VS-OPEN-OUT,,
9190,CT,CT-C-#,,
5358,CT,CT-ET,,
21005,CT,CT-FAN-OFF,,
10249,CT,CT-FAN-OFF-IN,,
23760,CT,CT-FAN-OFF-OUT,,
18803,CT,CT-FAN-OFF-SP,,
6672,CT,CT-FAN-OFF-TEMP-SP,,
24117,CT,CT-FOG-HEAT-IN,,
4656,CT,CT-FOG-HEAT-OUT,,
28783,CT,CT-FOG-IN,,
5399,CT,CT-FOG-OUT,,
22835,CT,CT-MAX-IN,,
5959,CT,CT-MAX-OUT,,
15764,CT,CT-OAH,,
7976,CT,CT-OAT,,
9166,CT,CT-RUNNING-OUT,,
5061,CT,CT-T#-#-AM,,
4181,CT,CT-T#-#-C,,
21997,CT,CT-T#-#-CDWET,,
