BMS_Object ID,BMS_Item Reference,BMS_Object Type,BMS_Name,Point_Type,BMS_Units,Interval Sec,DC,Block,Floor
12cdd504-b85d-536c-9e6c-7aae858c9268,HMS-T:SNE-T1-L30-01/FC1.VAV-38.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
1a8e6d6a-039a-5497-b2bf-00caa08e8a9d,HMS-T:SNE-T1-L36-02/FC1.DDC-T1-UR-01.FAF-T1-URF-01-C,BO Mapper,FAF-T1-URF-01-C,,,0,FALSE,,
81d673ca-0313-5394-9927-84a3a318451c,HMS-T:SNE-T1-L36-01/FC1.VAV-57H.CLG-MAXFLOW,AV Mapper,CLG-MAXFLOW,,,0,FALSE,,
92708527-5fc3-53d4-8f62-41afba8b1eca,HMS-T:SNE-T2-L29-01/FC1.DDC-T2-L28-02D.EAFT2L2804-MA,BI Mapper,EAFT2L2804-MA,,,0,FALSE,,
a9a6c083-62f3-5844-9565-eae9d8007258,HMS-T:SNE-T2-L27-01/FC1.DDC-T2-L26-02D.EAFT2L1204-S,BI Mapper,EAFT2L1204-S,,,0,FALSE,,
696fcf4f-7a48-5633-b1d9-b98de83b9f0e,HMS-T:SNE-T2-L20-01/FC1.VAV-77,JCI Family BACnet Device,VAV-77,,,0,FALSE,,
33049823-e593-50d6-8ea0-7cea885b8a4c,HMS-T:SNE-T1-L28-01/FC1.VAV-77H.TUNING-RESET,BV Mapper,TUNING-RESET,,,0,FALSE,,
875b27a6-67fe-5558-b852-fe9ed4bceef6,HMS-T:SNE-T1-L25-01/FC1.VAV-21.DPR-O,AO Mapper,DPR-O,,,0,FALSE,,
a791329c-a81a-5b0f-aba5-4fcef6cbb819,HMS-T:SNE-T2-L29-01/FC1.VAV-05,JCI Family BACnet Device,VAV-05,,,0,FALSE,,
0d90ae22-f7c3-538e-81bd-cddf19fc53e4,HMS-T:SNE-T1-L30-01/FC1.AHU-01.PA-SP,AV Mapper,PA-SP,,,0,FALSE,,
27fc3fc3-e5af-5813-85c5-2d77e38e505e,HMS-T:SNE-T2-RF-01/FC1.DDC-T2-TR-02.CT-T2-01-OHA2,BI Mapper,CT-T2-01-OHA2,,,0,FALSE,,
3965a96b-b2bd-5531-87a0-05e235ecd94a,HMS-T:SNE-T2-L31-01/FC1.DDC-T2-L30-02C.EAFT2L3001-EMS,BI Mapper,EAFT2L3001-EMS,,,0,FALSE,,
8a330b19-b807-505f-8852-46f1379566a1,HMS-T:SNE-T1-L32-01/FC1.VAV-64H.CLG-MAXFLOW,AV Mapper,CLG-MAXFLOW,,,0,FALSE,,
41eeb9d3-c8f6-5208-bf71-53622c0383e9,HMS-T:SNE-T1-L32-01/FC1.VAV-59H.ZN-T-SP,AV Mapper,ZN-T-SP,,,0,FALSE,,
