Asset Group Name,asset_group,"BMS ""Word""",,Asset Name/Space Name,point_description,bms_item_reference,BMS_Object ID,bms_object_type,bms_name,bms_units,Interval Sec,DC
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-01,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-01-AM,775252f2-a53d-5a0d-ac29-b2d8bbe9ccb9,BI Mapper,LTG-01-AM,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-01,On/Off Control,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-01-C,638c3b58-e95c-5c3c-bdf8-6175aa95ccf3,BO Mapper,LTG-01-C,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-02,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-02-AM,aa7f3244-765b-52ed-a752-0e231664b86e,BI Mapper,LTG-02-AM,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-02,On/Off Control,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-02-C,3c07aa43-a630-5b5c-b2bd-7a57ec2b5fec,BO Mapper,LTG-02-C,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-03,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-03-AM,fcd5de4e-0aaf-5d4d-97a8-f07f534386e0,BI Mapper,LTG-03-AM,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-03,On/Off Control,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-03-C,5c48d381-449d-5758-a009-d0ec9e968e92,BO Mapper,LTG-03-C,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-04,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-04-AM,c90ec495-8f90-56c3-8cf2-2a82e600b277,BI Mapper,LTG-04-AM,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-04,On/Off Control,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-04-C,9a78c1d4-e91f-5823-a160-a8e1650d09d9,BO Mapper,LTG-04-C,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-05,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-05-AM,0b24fe32-e625-5388-8ea7-85a905982214,BI Mapper,LTG-05-AM,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-05,On/Off Control,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-05-C,376e9a90-2c98-5442-b618-859f53e2f16e,BO Mapper,LTG-05-C,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-06,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-06-AM,7d79733a-9567-528b-a258-c32fb04a2748,BI Mapper,LTG-06-AM,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-06,On/Off Control,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-06-C,c58db681-428f-5222-9f06-aca05180cb93,BO Mapper,LTG-06-C,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-07,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-07-AM,52f46016-54e0-5328-b13e-4d2bffafee11,BI Mapper,LTG-07-AM,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-07,On/Off Control,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-07-C,a7bab81d-5d7d-58c4-bcf4-227400d13857,BO Mapper,LTG-07-C,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-08,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-08-AM,b0b561a4-2889-545c-9b7e-eabdf2abf1a5,BI Mapper,LTG-08-AM,,0,TURE
Lighting,ELEC-LTG,LTG,98HMS-1-L30-ELEC-LTG,98HMS-1-L30-ELEC-LTG-08,On/Off Control,HMS-T:SNE-T1-L30-01/FC1.LTG-01.LTG-08-C,57988ab2-10c5-50b3-b92f-bf5de019770a,BO Mapper,LTG-08-C,,0,TURE
Public Lighting,ELEC-PLT,PLTG,98HMS-1-L30-ELEC-PLT,98HMS-1-L30-ELEC-PLT-Z1,Auto/Manaul Status,HMS-T:SNE-T1-L30-01/FC1.DDC-T1-L30-04.PLTG-Z1-M,6a3cdecf-1ad0-51f9-b3b5-4697dabbe433,BI Mapper,PLTG-Z1-M,,0,TURE
